Store_ID,Close_date,SALES,Pop_45to50,Hisp_pop,Cauc_pop,Af_Am_pop,Asian_pop,Single_pop,Married_pop,Inc_40Kto100K,Inc_GT_100K,per_cap_inc,avg_inc,Educ_Bachelors,Educ_GE_Master,Occ_business,Occ_financial,Occ_computer,Occ_engineer,Occ_social_science,Occ_repair,played_baseball,played_basketball,played_bowling,played_football,played_hockey,played_volleyball,played_yoga,exercise_regularly,restaurant_score,night_life_score,music,football,baseball,basketball,soccer,university,CC,DT,BT,champ,stand_alone,strip_mall,life_style,pop_growth,region,Hooters,TP,BWW,Metrics
1,Mar_2019,-770.85,45,1009,3988,271,427,868,2337,138,39158,39475,114874.39,1180,326,150,53,97,255,47,11,120.0232,132.5007,151.7267,110.2435,138.406,122.6476,140.3119,117.8159,116.3211,135.9742,0,0,1,0,0,0,1,yes,high,N,0,1,0,4,W,2,3,3,10
2,Apr_2018,0,149,2120,8442,295,295,1897,4121,525,33698,30681,84041.88,1085,383,94,127,207,173,1,40,92.997,104.3194,116.2847,91.9362,106.4834,90.5927,126.4168,114.2811,115.2779,126.0711,0,0,0,0,0,0,1,no,high,N,0,1,0,4,W,2,3,3,10
3,,1136846.32,123,947,7346,16,140,1297,3975,344,45642,40810,95001.24,1770,810,113,133,99,120,91,11,81.0032,81.8887,90.0981,80.2769,87.708,83.3079,114.613,116.2992,102.3629,101.4011,0,0,0,0,0,0,1,no,high,N,0,1,0,4,W,2,3,3,10
4,,1620139.23, ,3108,11548,366,640,3486,5239,484,26695,28415,81269.09,1314,614,195,167,304,139,23,63,99.9046,103.0147,115.4506,97.3165,108.908,99.6579,113.9574,107.0171,115.2782,115.4765,0,0,0,0,0,0,1,yes,high,N,0,1,0,4,W,2,2,3,10
5,,1686688.36,94,342,6043,208,223,1185,3212,264,46052,47531,118764.07,1806,652,122,166,216,115,44,24,89.9434,94.4097,105.0755,91.3862,97.0077,92.3574,140.5478,119.6876,101.9168,117.8332,0,0,0,0,0,0,1,no,low,N,0,1,0,4,W,2,2,3,10
6,,1693673.88,60,556,4431,76,367,1381,2143,199,47532,41542,108764.24,1358,571,93,99,320,177,37,3,94.0788,96.2009,103.5065,90.6744,85.9969,102.4816,171.0276,119.4546,92.2783,142.7128,0,0,0,0,0,1,1,yes,low,N,0,1,0,4,MWest,2,1,3,10
7,,1723802.37,306,5212,14059,1171,772,7098,5019,806,29383,27200,65095.29,2308,1068,273,248,354,382,63,95,83.8022,95.1016,97.1094,87.4582,94.1737,77.9164,128.1296,109.5454,113.6494,134.9901,0,0,0,0,1,1,1,no,high,N,0,1,0,4,MWest,2,1,2,10
8,,1744686.36,62,349,5629,534,177,3830,1331,150,17147,18050,37158.64,712,231,28,38,103,20,75,40,105.5657,76.8512,72.2311,78.325,55.4706,113.3475,112.4156,93.5337,64.1497,170.4096,0,0,0,1,0,1,1,yes,low,N,0,1,0,4,MWest,2,1,2,10
9,,1750822.61,187,871,11055,759,1351,4533,4874,591,43854,45024,90129.79,3328,1746,256,301,624,142,374,16,82.5942,83.337,89.3106,78.534,73.3071,100.0197,156.4363,114.7589,88.1618,136.3719,0,0,0,0,1,1,1,no,high,N,0,1,0,4,MWest,2,0,2,10
10,,1848188.82,35,605,2501,50,29,1064,913,92,33812,27762,82383.1,566,202,15,31,6,15,6,6,103.4498,103.739,105.129,95.4064,106.6337,100.8169,138.859,115.1521,100.7665,130.3758,0,0,0,0,0,1,1,no,high,N,0,1,0,4,MWest,2,0,2,9
11,,1875187.35,3,649,5776,1209,377,2577,2447,8,30482,27401,55242.07,1155,448,76,123,94,70,21,0,97.0928,101.7075,92.2676,92.9516,103.7864,101.8856,115.2449,98.0674,113.8609,117.008,0,0,0,0,0,1,1,no,low,N,0,1,0,4,MWest,2,0,2,9
